locale;name;descr;code
locale9776;name2101;descr3053;DTF
locale2974;name1794;descr6216;JdV
locale8100;name4448;descr1706;eUM
locale3956;name7366;descr8750;wh2
locale9751;name4824;descr6694;g0x
locale7601;name2825;descr523;rfv
locale4307;name5939;descr7212;V3w
locale9145;name7810;descr8502;rkV
locale5973;name6995;descr4478;Vy1
locale9281;name29;descr9006;oxf
locale2798;name3185;descr5757;MJz
locale60;name1173;descr8058;GC7
locale4285;name7702;descr6462;9xh
locale7963;name7490;descr2333;gQh
locale1144;name9692;descr2249;Bae
locale4921;name7022;descr2541;3po
locale9046;name6531;descr6897;ngv
locale2878;name5688;descr7722;PQw
locale9736;name7888;descr9679;jWs
locale712;name7539;descr2192;1zM
