locale;name;descr;code
locale421;name8698;descr2137;code7881
locale3282;name668;descr8405;code5412
locale7888;name9489;descr5439;code473
locale3099;name8668;descr1169;code1339
locale7303;name3291;descr96;code8360
locale2637;name2045;descr4499;code6594
locale2242;name8402;descr8455;code7246
locale5570;name2619;descr1155;code9675
locale8088;name7235;descr8201;code6197
locale600;name9861;descr4392;code3503
locale2210;name5924;descr7167;code2185
locale7194;name9765;descr3771;code1618
locale965;name6480;descr8000;code9823
locale3807;name3242;descr2734;code8902
locale211;name5013;descr6226;code8269
locale6952;name615;descr4693;code8524
locale6336;name3496;descr388;code1915
locale6542;name739;descr8151;code2167
locale4168;name3043;descr2123;code692
locale7867;name3930;descr523;code6215
